abiword	3.0.5~dfsg-3.2
abiword-common	3.0.5~dfsg-3.2
adduser	3.134
adwaita-icon-theme	43-1
alsa-utils	1.2.8-1
apt	2.6.1
apt-utils	2.6.1
armbian-bsp-cli-q8-a33-legacy	26.08.0-trunk
armbian-config	26.8.0-trunk.426.0802.193312
armbian-firmware	26.08.0-trunk
at-spi2-common	2.46.0-5
at-spi2-core	2.46.0-5
base-files	26.08.0-trunk-12.4+deb12u15-bookworm
base-passwd	3.6.1
bash	5.2.15-2+b13
bash-completion	1:2.11-6
bc	1.07.1-3
binutils	2.40-2
binutils-arm-linux-gnueabihf	2.40-2
binutils-common:armhf	2.40-2
blueman	2.3.5-2+b1
bluez	5.66-1+rpt1+deb12u2
bluez-obexd	5.66-1+deb12u2
bsdextrautils	2.38.1-5+deb12u3
bsdutils	1:2.38.1-5+deb12u3
btrfs-progs	6.2-1+deb12u2
bubblewrap	0.8.0-2+deb12u1
build-essential	12.9
bzip2	1.0.8-5+b1
ca-certificates	20230311+deb12u1
console-setup	1.221
console-setup-linux	1.221
coreutils	9.1-1
cpio	2.13+dfsg-7.1
cpp	4:12.2.0-3
cpp-12	12.2.0-14+deb12u1
cron	3.0pl1-162
cron-daemon-common	3.0pl1-162
curl	7.88.1-10+deb12u15
dash	0.5.12-2
dbus	1.14.10-1~deb12u1
dbus-bin	1.14.10-1~deb12u1
dbus-daemon	1.14.10-1~deb12u1
dbus-session-bus-common	1.14.10-1~deb12u1
dbus-system-bus-common	1.14.10-1~deb12u1
dbus-user-session	1.14.10-1~deb12u1
dbus-x11	1.14.10-1~deb12u1
dconf-gsettings-backend:armhf	0.40.0-4
dconf-service	0.40.0-4
debconf	1.5.82
debconf-utils	1.5.82
debian-archive-keyring	2023.3+deb12u2
debianutils	5.7-0.5~deb12u1
debsums	3.0.2.1
desktop-file-utils	0.26-1
device-tree-compiler	1.6.1-4+b1
dialog	1.3-20230209-1
dictionaries-common	1.29.5
diffutils	1:3.8-4
dillo	3.0.5-7+b1
dirmngr	2.2.40-1.1+deb12u2
dmsetup	2:1.02.185-2
dosfstools	4.2-1
dpkg	1.21.23
dpkg-dev	1.21.23
dunst	1.9.0-0.1
e2fsprogs	1.47.0-2+b2
emacsen-common	3.0.5
evolution-data-server-common	3.46.4-2
evtest	1:1.35-1
expect	5.45.4-2+b1
fake-hwclock	0.12+nmu1
fastfetch	2.66.0
fdisk	2.38.1-5+deb12u3
feh	3.9.1-2
ffmpeg	7:5.1.9-0+deb12u1
figlet	2.2.5-3
findutils	4.9.0-4
fontconfig	2.14.1-4
fontconfig-config	2.14.1-4
fonts-dejavu	2.37-6
fonts-dejavu-core	2.37-6
fonts-dejavu-extra	2.37-6
fonts-urw-base35	20200910-7
fping	5.1-1
g++	4:12.2.0-3
g++-12	12.2.0-14+deb12u1
gcc	4:12.2.0-3
gcc-12	12.2.0-14+deb12u1
gcc-12-base:armhf	12.2.0-14+deb12u1
gir1.2-atk-1.0:armhf	2.46.0-5
gir1.2-atspi-2.0:armhf	2.46.0-5
gir1.2-freedesktop:armhf	1.74.0-3
gir1.2-gdkpixbuf-2.0:armhf	2.42.10+dfsg-1+deb12u4
gir1.2-glib-2.0:armhf	1.74.0-3
gir1.2-gtk-3.0:armhf	3.24.38-2~deb12u3
gir1.2-harfbuzz-0.0:armhf	6.0.0+dfsg-3
gir1.2-nm-1.0:armhf	1.42.4-1+deb12u1
gir1.2-pango-1.0:armhf	1.50.12+ds-1
glib-networking:armhf	2.74.0-4
glib-networking-common	2.74.0-4
glib-networking-services	2.74.0-4
gnumeric	1.12.55-1
gnumeric-common	1.12.55-1
gnupg	2.2.40-1.1+deb12u2
gnupg-l10n	2.2.40-1.1+deb12u2
gnupg-utils	2.2.40-1.1+deb12u2
gnupg2	2.2.40-1.1+deb12u2
gpg	2.2.40-1.1+deb12u2
gpg-agent	2.2.40-1.1+deb12u2
gpg-wks-client	2.2.40-1.1+deb12u2
gpg-wks-server	2.2.40-1.1+deb12u2
gpgconf	2.2.40-1.1+deb12u2
gpgsm	2.2.40-1.1+deb12u2
gpgv	2.2.40-1.1+deb12u2
gpiod	1.6.3-1+b3
grep	3.8-5
groff-base	1.22.4-10
gsettings-desktop-schemas	43.0-1
gsfonts	2:20200910-7
gstreamer1.0-plugins-base:armhf	1.22.0-3+deb12u6
gstreamer1.0-plugins-good:armhf	1.22.0-5+deb12u3
gtk-update-icon-cache	3.24.38-2~deb12u3
gzip	1.12-1
hicolor-icon-theme	0.17-2
hostname	3.23+nmu1
htop	3.2.2-2
hunspell-en-us	1:2020.12.07-2
icewm	3.3.1-1
icewm-common	3.3.1-1
init	1.65.2+deb12u1
init-system-helpers	1.65.2+deb12u1
initramfs-tools	0.142+deb12u3
initramfs-tools-core	0.142+deb12u3
iproute2	6.1.0-3
iputils-ping	3:20221126-1+deb12u1
iso-codes	4.15.0-1
iw	5.19-1
jq	1.6-2.1+deb12u2
kbd	2.5.1-1+b1
keyboard-configuration	1.221
klibc-utils	2.0.12-1
kmod	30+20221128-1
less	590-2.1~deb12u2
libaa1:armhf	1.4p5-50
libabiword-3.0:armhf	3.0.5~dfsg-3.2
libabsl20220623:armhf	20220623.1-1+deb12u2
libacl1:armhf	2.3.1-3
libao-common	1.2.2+20180113-1.1
libao4:armhf	1.2.2+20180113-1.1
libaom3:armhf	3.6.0-1+deb12u2
libapparmor1:armhf	3.0.8-3
libapt-pkg6.0:armhf	2.6.1
libarchive13:armhf	3.6.2-1+deb12u4
libargon2-1:armhf	0~20171227-0.3+deb12u1
libasan8:armhf	12.2.0-14+deb12u1
libasound2:armhf	1.2.8-1+b1
libasound2-data	1.2.8-1
libaspell15:armhf	0.60.8-4+b1
libass9:armhf	1:0.17.1-1
libassuan0:armhf	2.5.5-5
libasyncns0:armhf	0.8-6+b3
libatk-bridge2.0-0:armhf	2.46.0-5
libatk1.0-0:armhf	2.46.0-5
libatomic1:armhf	12.2.0-14+deb12u1
libatopology2:armhf	1.2.8-1+b1
libatspi2.0-0:armhf	2.46.0-5
libattr1:armhf	1:2.5.1-4
libaudit-common	1:3.0.9-1
libaudit1:armhf	1:3.0.9-1
libavahi-client3:armhf	0.8-10+deb12u1
libavahi-common-data:armhf	0.8-10+deb12u1
libavahi-common3:armhf	0.8-10+deb12u1
libavc1394-0:armhf	0.5.4-5
libavcodec59:armhf	7:5.1.9-0+deb12u1
libavdevice59:armhf	7:5.1.9-0+deb12u1
libavfilter8:armhf	7:5.1.9-0+deb12u1
libavformat59:armhf	7:5.1.9-0+deb12u1
libavif15:armhf	0.11.1-1+deb12u1
libavutil57:armhf	7:5.1.9-0+deb12u1
libbinutils:armhf	2.40-2
libblas3:armhf	3.11.0-2
libblkid1:armhf	2.38.1-5+deb12u3
libbluetooth3:armhf	5.66-1+deb12u2
libbluray2:armhf	1:1.3.4-1
libbpf1:armhf	1:1.1.2-0+deb12u1
libbrotli1:armhf	1.0.9-2+b6
libbs2b0:armhf	3.1.0+dfsg-7
libbsd0:armhf	0.11.7-2
libbz2-1.0:armhf	1.0.8-5+b1
libc-bin	2.36-9+deb12u14
libc-dev-bin	2.36-9+deb12u14
libc-l10n	2.36-9+deb12u14
libc6:armhf	2.36-9+deb12u14
libc6-dev:armhf	2.36-9+deb12u14
libcaca0:armhf	0.99.beta20-3+deb12u1
libcairo-gobject2:armhf	1.16.0-7
libcairo2:armhf	1.16.0-7
libcamel-1.2-64:armhf	3.46.4-2
libcanberra0:armhf	0.30-10
libcap-ng0:armhf	0.8.3-1+b3
libcap2:armhf	1:2.66-4+deb12u3+b1
libcap2-bin	1:2.66-4+deb12u3+b1
libcbor0.8:armhf	0.8.0-2+b1
libcc1-0:armhf	12.2.0-14+deb12u1
libcdio-cdda2:armhf	10.2+2.0.1-1
libcdio-paranoia2:armhf	10.2+2.0.1-1
libcdio19:armhf	2.1.0-4
libcdparanoia0:armhf	3.10.2+debian-14
libchromaprint1:armhf	1.5.1-2+b1
libcjson1:armhf	1.7.15-1+deb12u4
libcodec2-1.0:armhf	1.0.5-1
libcolord2:armhf	1.4.6-2.2
libcom-err2:armhf	1.47.0-2+b2
libcrypt-dev:armhf	1:4.4.33-2
libcrypt1:armhf	1:4.4.33-2
libcryptsetup12:armhf	2:2.6.1-4~deb12u2
libctf-nobfd0:armhf	2.40-2
libctf0:armhf	2.40-2
libcups2:armhf	2.4.2-3+deb12u9
libcurl3-gnutls:armhf	7.88.1-10+deb12u15
libcurl4:armhf	7.88.1-10+deb12u15
libdatrie1:armhf	0.2.13-2+b1
libdav1d6:armhf	1.0.0-2+deb12u1
libdb5.3:armhf	5.3.28+dfsg2-1
libdbus-1-3:armhf	1.14.10-1~deb12u1
libdbus-glib-1-2:armhf	0.112-3
libdc1394-25:armhf	2.2.6-4
libdconf1:armhf	0.40.0-4
libde265-0:armhf	1.0.11-1+deb12u2
libdebconfclient0:armhf	0.270
libdecor-0-0:armhf	0.1.1-2
libdeflate0:armhf	1.14-1
libdevmapper1.02.1:armhf	2:1.02.185-2
libdouble-conversion3:armhf	3.2.1-1
libdpkg-perl	1.21.23
libdrm-amdgpu1:armhf	2.4.114-1+b1
libdrm-common	2.4.114-1
libdrm-nouveau2:armhf	2.4.114-1+b1
libdrm-radeon1:armhf	2.4.114-1+b1
libdrm2:armhf	2.4.114-1+b1
libduktape207:armhf	2.7.0-2
libdv4:armhf	1.0.0-15
libdvdnav4:armhf	6.1.1-1
libdvdread8:armhf	6.1.3-1
libdw1:armhf	0.188-2.1
libebook-contacts-1.2-4:armhf	3.46.4-2
libedataserver-1.2-27:armhf	3.46.4-2
libedit2:armhf	3.1-20221030-2
libegl-mesa0:armhf	22.3.6-1+deb12u2
libegl1:armhf	1.6.0-1
libelf1:armhf	0.188-2.1
libenchant-2-2:armhf	2.3.3-2
libepoxy0:armhf	1.5.10-1
libestr0:armhf	0.1.11-1
libevdev2:armhf	1.13.0+dfsg-1
libexif12:armhf	0.6.24-1+deb12u1
libexpat1:armhf	2.5.0-1+deb12u2
libext2fs2:armhf	1.47.0-2+b2
libfastjson4:armhf	1.2304.0-1
libfdisk1:armhf	2.38.1-5+deb12u3
libfdt1:armhf	1.6.1-4+b1
libffi8:armhf	3.4.4-1
libfftw3-single3:armhf	3.3.10-1
libfido2-1:armhf	1.12.0-2+b1
libfile-find-rule-perl	0.34-4~deb12u1
libfile-fnmatch-perl	0.02-3+b1
libflac12:armhf	1.4.2+ds-2
libflite1:armhf	2.2-5
libfltk-cairo1.3:armhf	1.3.8-5
libfltk-forms1.3:armhf	1.3.8-5
libfltk-gl1.3:armhf	1.3.8-5
libfltk-images1.3:armhf	1.3.8-5
libfltk1.3:armhf	1.3.8-5
libfltk1.3-dev:armhf	1.3.8-5
libfm-data	1.3.2-1
libfm-extra4:armhf	1.3.2-1
libfm-gtk-data	1.3.2-1
libfm-gtk4:armhf	1.3.2-1
libfm4:armhf	1.3.2-1
libfontconfig1:armhf	2.14.1-4
libfontenc1:armhf	1:1.1.4-1
libfreetype6:armhf	2.12.1+dfsg-5+deb12u4
libfribidi0:armhf	1.0.8-2.1
libgav1-1:armhf	0.18.0-1+b1
libgbm1:armhf	22.3.6-1+deb12u2
libgcc-12-dev:armhf	12.2.0-14+deb12u1
libgcc-s1:armhf	12.2.0-14+deb12u1
libgcrypt20:armhf	1.10.1-3+deb12u1
libgdbm-compat4:armhf	1.23-3
libgdbm6:armhf	1.23-3
libgdk-pixbuf-2.0-0:armhf	2.42.10+dfsg-1+deb12u4
libgdk-pixbuf2.0-common	2.42.10+dfsg-1+deb12u4
libgfortran5:armhf	12.2.0-14+deb12u1
libgif7:armhf	5.2.1-2.5+deb12u1
libgirepository-1.0-1:armhf	1.74.0-3
libgl1:armhf	1.6.0-1
libgl1-mesa-dri:armhf	22.3.6-1+deb12u2
